book,word,n
Goblet of Fire,looked,483
Goblet of Fire,eyes,316
Goblet of Fire,moody,309
Goblet of Fire,professor,290
Goblet of Fire,crouch,287
Goblet of Fire,time,278
Goblet of Fire,wand,276
Goblet of Fire,voice,253
Goblet of Fire,head,231
Goblet of Fire,cedric,225
Goblet of Fire,told,218
Goblet of Fire,bagman,208
Goblet of Fire,dark,194
Goblet of Fire,krum,190
Goblet of Fire,fred,186
Goblet of Fire,hogwarts,186
Goblet of Fire,hand,184
Goblet of Fire,heard,179
Goblet of Fire,table,176
Goblet of Fire,hall,162
Goblet of Fire,house,162
Goblet of Fire,people,159
Goblet of Fire,front,157
Goblet of Fire,door,156
Goblet of Fire,george,152
Goblet of Fire,feet,148
Goblet of Fire,winky,145
Goblet of Fire,yeah,145
Goblet of Fire,karkaroff,141
Goblet of Fire,moment,140
Goblet of Fire,left,138
Goblet of Fire,robes,132
Goblet of Fire,magical,129
Goblet of Fire,hands,123
Goblet of Fire,pulled,120
Goblet of Fire,fire,119
Goblet of Fire,cup,118
Goblet of Fire,wormtail,117
Goblet of Fire,eye,116
Goblet of Fire,ministry,115
Goblet of Fire,staring,114
Goblet of Fire,suddenly,112
Goblet of Fire,black,111
Goblet of Fire,hear,111
Goblet of Fire,death,109
Goblet of Fire,found,108
Goblet of Fire,inside,107
Goblet of Fire,school,106
Goblet of Fire,walked,106
Goblet of Fire,wizards,106
Goblet of Fire,hair,104
Goblet of Fire,percy,103
Goblet of Fire,talking,103
Goblet of Fire,night,102
Goblet of Fire,top,101
Goblet of Fire,coming,100
Goblet of Fire,forward,100
Goblet of Fire,stood,100
Goblet of Fire,diggory,98
Goblet of Fire,sitting,98
Goblet of Fire,students,98
Goblet of Fire,air,96
Goblet of Fire,past,96
Goblet of Fire,sort,96
Goblet of Fire,office,95
Goblet of Fire,tournament,95
Goblet of Fire,father,94
Goblet of Fire,half,94
Goblet of Fire,madame,94
Goblet of Fire,ground,93
Goblet of Fire,hard,93
Goblet of Fire,maxime,93
Goblet of Fire,started,93
Goblet of Fire,water,93
Goblet of Fire,quidditch,91
Goblet of Fire,rita,91
Goblet of Fire,bit,89
Goblet of Fire,elf,88
Goblet of Fire,slightly,88
Goblet of Fire,crowd,87
Goblet of Fire,sir,87
Goblet of Fire,sat,86
Goblet of Fire,task,86
Goblet of Fire,light,85
Goblet of Fire,muttered,85
Goblet of Fire,standing,85
Goblet of Fire,boy,84
Goblet of Fire,champions,84
Goblet of Fire,fleur,84
Goblet of Fire,slowly,84
Goblet of Fire,stared,84
Goblet of Fire,world,84
Goblet of Fire,castle,83
Goblet of Fire,magic,83
Goblet of Fire,mind,83
Goblet of Fire,mouth,83
Goblet of Fire,uncle,83
Goblet of Fire,happened,82
Goblet of Fire,set,81
Goblet of Fire,supposed,80
Goblet of Fire,lord,79
Goblet of Fire,watching,79
Goblet of Fire,er,77
Goblet of Fire,wizard,77
Goblet of Fire,fudge,76
Goblet of Fire,reached,76
Goblet of Fire,skeeter,75
Goblet of Fire,floor,74
Goblet of Fire,raised,74
Goblet of Fire,whispered,74
Goblet of Fire,egg,73
Goblet of Fire,red,73
Goblet of Fire,wearing,73
Goblet of Fire,bill,72
Goblet of Fire,lot,72
Goblet of Fire,bed,71
Goblet of Fire,cloak,71
Goblet of Fire,fell,71
Goblet of Fire,gryffindor,71
Goblet of Fire,ludo,71
Goblet of Fire,quickly,71
Goblet of Fire,quietly,71
Goblet of Fire,shouted,71
Goblet of Fire,master,70
Goblet of Fire,watched,70
Goblet of Fire,feeling,69
Goblet of Fire,returned,69
Goblet of Fire,triwizard,69
Goblet of Fire,cold,68
Goblet of Fire,neville,68
Goblet of Fire,green,67
Goblet of Fire,curse,66
Goblet of Fire,goblet,66
Goblet of Fire,stopped,66
Goblet of Fire,called,64
Goblet of Fire,dead,64
Goblet of Fire,word,64
Goblet of Fire,morning,63
Goblet of Fire,scar,63
Goblet of Fire,silence,63
Goblet of Fire,class,62
Goblet of Fire,feel,62
Goblet of Fire,frank,62
Goblet of Fire,life,62
Goblet of Fire,owl,62
Goblet of Fire,eaters,61
Goblet of Fire,gold,61
Goblet of Fire,mad,61
Goblet of Fire,ron's,61
Goblet of Fire,stone,61
Goblet of Fire,usual,61
Goblet of Fire,day,60
Goblet of Fire,leg,60
Goblet of Fire,letter,60
Goblet of Fire,mother,60
Goblet of Fire,caught,59
Goblet of Fire,entrance,59
Goblet of Fire,foot,58
Goblet of Fire,golden,58
Goblet of Fire,muggle,58
Goblet of Fire,parchment,58
Goblet of Fire,words,58
Goblet of Fire,yeh,58
Goblet of Fire,champion,57
Goblet of Fire,dumbledore's,57
Goblet of Fire,entered,57
Goblet of Fire,grounds,57
Goblet of Fire,holding,57
Goblet of Fire,idea,57
Goblet of Fire,lake,57
Goblet of Fire,sound,57
Goblet of Fire,talk,57
Goblet of Fire,ten,57
Goblet of Fire,white,57
Goblet of Fire,care,56
Goblet of Fire,fingers,56
Goblet of Fire,arm,55
Goblet of Fire,noise,55
Goblet of Fire,shaking,55
Goblet of Fire,stop,55
Goblet of Fire,ter,55
Goblet of Fire,watch,55
Goblet of Fire,charlie,54
Goblet of Fire,continued,54
Goblet of Fire,durmstrang,54
Goblet of Fire,remember,54
Goblet of Fire,rest,54
Goblet of Fire,telling,54
Goblet of Fire,tent,54
Goblet of Fire,beauxbatons,53
Goblet of Fire,empty,53
Goblet of Fire,loudly,53
Goblet of Fire,nose,53
Goblet of Fire,hurried,52
Goblet of Fire,map,52
Goblet of Fire,shoulder,52
Goblet of Fire,appeared,51
Goblet of Fire,fast,51
Goblet of Fire,girls,51
Goblet of Fire,held,51
Goblet of Fire,moody's,51
Goblet of Fire,passed,51
Goblet of Fire,short,51
Goblet of Fire,staircase,51
Goblet of Fire,thick,51
Goblet of Fire,arms,50
Goblet of Fire,body,50
Goblet of Fire,deep,50
Goblet of Fire,moving,50
Goblet of Fire,shook,50
Goblet of Fire,trouble,50
Goblet of Fire,window,50
Goblet of Fire,creatures,49
Goblet of Fire,days,49
Goblet of Fire,girl,49
Goblet of Fire,hagrid's,49
Goblet of Fire,viktor,49
Goblet of Fire,ah,48
Goblet of Fire,box,48
Goblet of Fire,common,48
Goblet of Fire,dragon,48
Goblet of Fire,field,48
Goblet of Fire,mark,48
Goblet of Fire,son,48
Goblet of Fire,chair,47
Goblet of Fire,hit,47
Goblet of Fire,minutes,47
Goblet of Fire,miss,47
Goblet of Fire,read,47
Goblet of Fire,sight,47
Goblet of Fire,stairs,47
Goblet of Fire,starting,47
Goblet of Fire,desk,46
Goblet of Fire,ears,46
Goblet of Fire,potion,46
Goblet of Fire,smile,46
Goblet of Fire,thinking,46
Goblet of Fire,yelled,46
Goblet of Fire,barty,45
Goblet of Fire,dragons,45
Goblet of Fire,extremely,45
Goblet of Fire,kitchen,45
Goblet of Fire,moved,45
Goblet of Fire,corner,44
Goblet of Fire,ginny,44
Goblet of Fire,leave,44
Goblet of Fire,path,44
Goblet of Fire,start,44
Goblet of Fire,steps,44
Goblet of Fire,walking,44
Goblet of Fire,answer,43
Goblet of Fire,arrived,43
Goblet of Fire,aunt,43
Goblet of Fire,d'you,43
Goblet of Fire,elves,43
Goblet of Fire,fine,43
Goblet of Fire,free,43
Goblet of Fire,reckon,43
Goblet of Fire,shut,43
Goblet of Fire,wands,43
Goblet of Fire,ball,42
Goblet of Fire,daily,42
Goblet of Fire,food,42
Goblet of Fire,forest,42
Goblet of Fire,hermione's,42
Goblet of Fire,legs,42
Goblet of Fire,noticed,42
Goblet of Fire,straight,42
Goblet of Fire,tonight,42
Goblet of Fire,dad,41
Goblet of Fire,finally,41
Goblet of Fire,grinning,41
Goblet of Fire,hat,41
Goblet of Fire,heads,41
Goblet of Fire,pain,41
Goblet of Fire,stuff,41
Goblet of Fire,taking,41
Goblet of Fire,azkaban,40
Goblet of Fire,bad,40
Goblet of Fire,cedric's,40
Goblet of Fire,closed,40
Goblet of Fire,enormous,40
Goblet of Fire,filch,40
Goblet of Fire,hedwig,40
Goblet of Fire,hour,40
Goblet of Fire,lesson,40
Goblet of Fire,move,40
Goblet of Fire,spoke,40
Goblet of Fire,added,39
Goblet of Fire,cauldron,39
Goblet of Fire,dursleys,39
Goblet of Fire,hope,39
Goblet of Fire,hundred,39
Goblet of Fire,petunia,39
Goblet of Fire,real,39
Goblet of Fire,skrewts,39
Goblet of Fire,waiting,39
Goblet of Fire,ago,38
Goblet of Fire,beneath,38
Goblet of Fire,bertha,38
Goblet of Fire,blue,38
Goblet of Fire,boys,38
Goblet of Fire,breath,38
Goblet of Fire,chance,38
Goblet of Fire,friend,38
Goblet of Fire,goyle,38
Goblet of Fire,listening,38
Goblet of Fire,normal,38
Goblet of Fire,parvati,38
Goblet of Fire,quill,38
Goblet of Fire,silver,38
Goblet of Fire,smiling,38
Goblet of Fire,stay,38
Goblet of Fire,times,38
Goblet of Fire,trunk,38
Goblet of Fire,voldemort's,38
Goblet of Fire,witch,38
Goblet of Fire,completely,37
Goblet of Fire,dear,37
Goblet of Fire,dementors,37
Goblet of Fire,parents,37
Goblet of Fire,prophet,37
Goblet of Fire,return,37
Goblet of Fire,shot,37
Goblet of Fire,snape's,37
Goblet of Fire,sounded,37
Goblet of Fire,stupid,37
Goblet of Fire,summer,37
Goblet of Fire,crabbe,36
Goblet of Fire,finished,36
Goblet of Fire,harrys,36
Goblet of Fire,loud,36
Goblet of Fire,odd,36
Goblet of Fire,person,36
Goblet of Fire,send,36
Goblet of Fire,veela,36
Goblet of Fire,wrong,36
Goblet of Fire,books,35
Goblet of Fire,cabin,35
Goblet of Fire,closer,35
Goblet of Fire,department,35
Goblet of Fire,died,35
Goblet of Fire,gray,35
Goblet of Fire,managed,35
Goblet of Fire,names,35
Goblet of Fire,piece,35
Goblet of Fire,spell,35
Goblet of Fire,wall,35
Goblet of Fire,angrily,34
Goblet of Fire,apparently,34
Goblet of Fire,bag,34
Goblet of Fire,bet,34
Goblet of Fire,carrying,34
Goblet of Fire,corridor,34
Goblet of Fire,crouch's,34
Goblet of Fire,filled,34
Goblet of Fire,giant,34
Goblet of Fire,muggles,34
Goblet of Fire,running,34
Goblet of Fire,seized,34
Goblet of Fire,sign,34
Goblet of Fire,sky,34
Goblet of Fire,trees,34
Goblet of Fire,dungeon,33
Goblet of Fire,flying,33
Goblet of Fire,listen,33
Goblet of Fire,lit,33
Goblet of Fire,madam,33
Goblet of Fire,matter,33
Goblet of Fire,mum,33
Goblet of Fire,ran,33
Goblet of Fire,snapped,33
Goblet of Fire,twenty,33
Goblet of Fire,walk,33
Goblet of Fire,woman,33
Goblet of Fire,arthur,32
Goblet of Fire,bottom,32
Goblet of Fire,brightly,32
Goblet of Fire,cho,32
Goblet of Fire,darkness,32
Goblet of Fire,edge,32
Goblet of Fire,em,32
Goblet of Fire,family,32
Goblet of Fire,information,32
Goblet of Fire,invisibility,32
Goblet of Fire,killed,32
Goblet of Fire,met,32
Goblet of Fire,peeves,32
Goblet of Fire,quiet,32
Goblet of Fire,seat,32
Goblet of Fire,seats,32
Goblet of Fire,attention,31
Goblet of Fire,covered,31
Goblet of Fire,expression,31
Goblet of Fire,fourth,31
Goblet of Fire,horrible,31
Goblet of Fire,leaving,31
Goblet of Fire,line,31
Goblet of Fire,lost,31
Goblet of Fire,lying,31
Goblet of Fire,nice,31
Goblet of Fire,pair,31
Goblet of Fire,pulling,31
Goblet of Fire,ready,31
Goblet of Fire,rose,31
Goblet of Fire,round,31
Goblet of Fire,speak,31
Goblet of Fire,wait,31
Goblet of Fire,walls,31
Goblet of Fire,worried,31
Goblet of Fire,blast,30
Goblet of Fire,breakfast,30
Goblet of Fire,ceiling,30
Goblet of Fire,christmas,30
Goblet of Fire,close,30
Goblet of Fire,delacour,30
Goblet of Fire,growled,30
Goblet of Fire,heart,30
Goblet of Fire,hissed,30
Goblet of Fire,pocket,30
Goblet of Fire,power,30
Goblet of Fire,run,30
Goblet of Fire,spider,30
Goblet of Fire,staff,30
Goblet of Fire,stand,30
Goblet of Fire,step,30
Goblet of Fire,teeth,30
Goblet of Fire,week,30
Goblet of Fire,witches,30
Goblet of Fire,bent,29
Goblet of Fire,broken,29
Goblet of Fire,brought,29
Goblet of Fire,burst,29
Goblet of Fire,carriage,29
Goblet of Fire,charm,29
Goblet of Fire,closely,29
Goblet of Fire,dinner,29
Goblet of Fire,fat,29
Goblet of Fire,forced,29
Goblet of Fire,giving,29
Goblet of Fire,jumped,29
Goblet of Fire,laughing,29
Goblet of Fire,lay,29
Goblet of Fire,library,29
Goblet of Fire,low,29
Goblet of Fire,meant,29
Goblet of Fire,owls,29
Goblet of Fire,picked,29
Goblet of Fire,softly,29
Goblet of Fire,tea,29
Goblet of Fire,amos,28
Goblet of Fire,angry,28
Goblet of Fire,bring,28
Goblet of Fire,dropped,28
Goblet of Fire,evening,28
Goblet of Fire,excitedly,28
