book,word,n
Half-Blood Prince,looked,335
Half-Blood Prince,slughorn,335
Half-Blood Prince,time,313
Half-Blood Prince,professor,272
Half-Blood Prince,ginny,215
Half-Blood Prince,hand,209
Half-Blood Prince,eyes,205
Half-Blood Prince,voice,197
Half-Blood Prince,dark,196
Half-Blood Prince,wand,191
Half-Blood Prince,door,180
Half-Blood Prince,head,164
Half-Blood Prince,told,162
Half-Blood Prince,people,160
Half-Blood Prince,moment,158
Half-Blood Prince,left,151
Half-Blood Prince,death,144
Half-Blood Prince,sir,135
Half-Blood Prince,hogwarts,134
Half-Blood Prince,dumbledore's,130
Half-Blood Prince,heard,124
Half-Blood Prince,minister,119
Half-Blood Prince,potion,116
Half-Blood Prince,ministry,113
Half-Blood Prince,school,113
Half-Blood Prince,yeah,112
Half-Blood Prince,half,108
Half-Blood Prince,house,108
Half-Blood Prince,front,107
Half-Blood Prince,feet,104
Half-Blood Prince,black,103
Half-Blood Prince,riddle,101
Half-Blood Prince,prime,99
Half-Blood Prince,happened,95
Half-Blood Prince,cloak,92
Half-Blood Prince,table,92
Half-Blood Prince,found,91
Half-Blood Prince,hear,90
Half-Blood Prince,office,90
Half-Blood Prince,lord,89
Half-Blood Prince,magic,87
Half-Blood Prince,set,85
Half-Blood Prince,blood,84
Half-Blood Prince,light,84
Half-Blood Prince,standing,84
Half-Blood Prince,stood,83
Half-Blood Prince,memory,82
Half-Blood Prince,hands,81
Half-Blood Prince,book,79
Half-Blood Prince,hair,79
Half-Blood Prince,bit,77
Half-Blood Prince,sitting,77
Half-Blood Prince,floor,76
Half-Blood Prince,fred,76
Half-Blood Prince,night,76
Half-Blood Prince,1,74
Half-Blood Prince,boy,74
Half-Blood Prince,ing,73
Half-Blood Prince,tom,73
Half-Blood Prince,ron's,72
Half-Blood Prince,fudge,71
Half-Blood Prince,mind,71
Half-Blood Prince,day,70
Half-Blood Prince,inside,70
Half-Blood Prince,past,70
Half-Blood Prince,water,70
Half-Blood Prince,air,69
Half-Blood Prince,draco,69
Half-Blood Prince,madam,69
Half-Blood Prince,potions,69
Half-Blood Prince,scrimgeour,69
Half-Blood Prince,word,68
Half-Blood Prince,wizard,67
Half-Blood Prince,eaters,66
Half-Blood Prince,hard,66
Half-Blood Prince,quickly,66
Half-Blood Prince,mclaggen,65
Half-Blood Prince,bed,63
Half-Blood Prince,raised,63
Half-Blood Prince,dead,61
Half-Blood Prince,idea,61
Half-Blood Prince,ogden,61
Half-Blood Prince,taking,61
Half-Blood Prince,common,60
Half-Blood Prince,mouth,60
Half-Blood Prince,slightly,60
Half-Blood Prince,staring,60
Half-Blood Prince,fell,59
Half-Blood Prince,hall,59
Half-Blood Prince,neville,59
Half-Blood Prince,quietly,59
Half-Blood Prince,body,58
Half-Blood Prince,gryffindor,58
Half-Blood Prince,pulled,58
Half-Blood Prince,suddenly,58
Half-Blood Prince,top,58
Half-Blood Prince,words,58
Half-Blood Prince,arm,57
Half-Blood Prince,morfin,57
Half-Blood Prince,silence,57
Half-Blood Prince,called,56
Half-Blood Prince,dear,56
Half-Blood Prince,prince,56
Half-Blood Prince,stared,56
Half-Blood Prince,talking,56
Half-Blood Prince,walked,56
Half-Blood Prince,wall,56
Half-Blood Prince,window,56
Half-Blood Prince,castle,55
Half-Blood Prince,lavender,55
Half-Blood Prince,luna,55
Half-Blood Prince,muggle,55
Half-Blood Prince,stop,55
Half-Blood Prince,rest,54
Half-Blood Prince,tonks,54
Half-Blood Prince,appeared,53
Half-Blood Prince,glass,53
Half-Blood Prince,leave,53
Half-Blood Prince,quidditch,53
Half-Blood Prince,remember,53
Half-Blood Prince,robes,53
Half-Blood Prince,slughorn's,53
Half-Blood Prince,speak,53
Half-Blood Prince,bottle,52
Half-Blood Prince,coming,52
Half-Blood Prince,expression,52
Half-Blood Prince,love,52
Half-Blood Prince,passed,52
Half-Blood Prince,prophecy,52
Half-Blood Prince,wearing,52
Half-Blood Prince,corridor,51
Half-Blood Prince,dean,51
Half-Blood Prince,feeling,51
Half-Blood Prince,kreacher,51
Half-Blood Prince,moved,51
Half-Blood Prince,corner,50
Half-Blood Prince,empty,50
Half-Blood Prince,forward,50
Half-Blood Prince,reached,50
Half-Blood Prince,whispered,50
Half-Blood Prince,evening,49
Half-Blood Prince,father,49
Half-Blood Prince,hope,49
Half-Blood Prince,nose,49
Half-Blood Prince,returned,49
Half-Blood Prince,sight,49
Half-Blood Prince,supposed,49
Half-Blood Prince,team,49
Half-Blood Prince,added,48
Half-Blood Prince,borgin,48
Half-Blood Prince,gaunt,48
Half-Blood Prince,george,48
Half-Blood Prince,girl,48
Half-Blood Prince,mother,48
Half-Blood Prince,closed,47
Half-Blood Prince,drink,47
Half-Blood Prince,loudly,47
Half-Blood Prince,narcissa,47
Half-Blood Prince,slowly,47
Half-Blood Prince,usual,47
Half-Blood Prince,wrong,47
Half-Blood Prince,arms,46
Half-Blood Prince,died,46
Half-Blood Prince,hastily,46
Half-Blood Prince,holding,46
Half-Blood Prince,horcrux,46
Half-Blood Prince,katie,46
Half-Blood Prince,lot,46
Half-Blood Prince,shoulder,46
Half-Blood Prince,talk,46
Half-Blood Prince,close,45
Half-Blood Prince,feel,45
Half-Blood Prince,sat,45
Half-Blood Prince,stopped,45
Half-Blood Prince,answer,44
Half-Blood Prince,desk,44
Half-Blood Prince,noticed,44
Half-Blood Prince,question,44
Half-Blood Prince,ten,44
Half-Blood Prince,understand,44
Half-Blood Prince,bellatrix,43
Half-Blood Prince,continued,43
Half-Blood Prince,finally,43
Half-Blood Prince,ground,43
Half-Blood Prince,kill,43
Half-Blood Prince,quot,43
Half-Blood Prince,yeh,43
Half-Blood Prince,bill,42
Half-Blood Prince,call,42
Half-Blood Prince,er,42
Half-Blood Prince,eye,42
Half-Blood Prince,fleur,42
Half-Blood Prince,friends,42
Half-Blood Prince,heart,42
Half-Blood Prince,life,42
Half-Blood Prince,magical,42
Half-Blood Prince,match,42
Half-Blood Prince,short,42
Half-Blood Prince,finished,41
Half-Blood Prince,fire,41
Half-Blood Prince,matter,41
Half-Blood Prince,shaking,41
Half-Blood Prince,shop,41
Half-Blood Prince,soul,41
Half-Blood Prince,apparently,40
Half-Blood Prince,arts,40
Half-Blood Prince,curse,40
Half-Blood Prince,eater,40
Half-Blood Prince,family,40
Half-Blood Prince,hit,40
Half-Blood Prince,hurried,40
Half-Blood Prince,mark,40
Half-Blood Prince,portrait,40
Half-Blood Prince,spell,40
Half-Blood Prince,voldemort's,40
Half-Blood Prince,care,39
Half-Blood Prince,chosen,39
Half-Blood Prince,days,39
Half-Blood Prince,horcruxes,39
Half-Blood Prince,leaving,39
Half-Blood Prince,loud,39
Half-Blood Prince,malfoy's,39
Half-Blood Prince,minutes,39
Half-Blood Prince,morning,39
Half-Blood Prince,party,39
Half-Blood Prince,started,39
Half-Blood Prince,stone,39
Half-Blood Prince,white,39
Half-Blood Prince,green,38
Half-Blood Prince,ran,38
Half-Blood Prince,red,38
Half-Blood Prince,sound,38
Half-Blood Prince,waiting,38
Half-Blood Prince,zabini,38
Half-Blood Prince,darkness,37
Half-Blood Prince,hagrid's,37
Half-Blood Prince,hours,37
Half-Blood Prince,job,37
Half-Blood Prince,students,37
Half-Blood Prince,thinking,37
Half-Blood Prince,ago,36
Half-Blood Prince,caught,36
Half-Blood Prince,copy,36
Half-Blood Prince,shouted,36
Half-Blood Prince,times,36
Half-Blood Prince,tiny,36
Half-Blood Prince,true,36
Half-Blood Prince,cauldron,35
Half-Blood Prince,chair,35
Half-Blood Prince,gold,35
Half-Blood Prince,invisibility,35
Half-Blood Prince,listen,35
Half-Blood Prince,low,35
Half-Blood Prince,meant,35
Half-Blood Prince,seat,35
Half-Blood Prince,snape's,35
Half-Blood Prince,spot,35
Half-Blood Prince,stupid,35
Half-Blood Prince,ter,35
Half-Blood Prince,tonight,35
Half-Blood Prince,trelawney,35
Half-Blood Prince,vanished,35
Half-Blood Prince,angrily,34
Half-Blood Prince,filch,34
Half-Blood Prince,glasses,34
Half-Blood Prince,killed,34
Half-Blood Prince,muttered,34
Half-Blood Prince,necklace,34
Half-Blood Prince,parchment,34
Half-Blood Prince,pocket,34
Half-Blood Prince,round,34
Half-Blood Prince,severus,34
Half-Blood Prince,shut,34
Half-Blood Prince,son,34
Half-Blood Prince,stepped,34
Half-Blood Prince,suppose,34
Half-Blood Prince,won,34
Half-Blood Prince,barely,33
Half-Blood Prince,bathroom,33
Half-Blood Prince,cold,33
Half-Blood Prince,dangerous,33
Half-Blood Prince,deep,33
Half-Blood Prince,hermione's,33
Half-Blood Prince,hour,33
Half-Blood Prince,late,33
Half-Blood Prince,lessons,33
Half-Blood Prince,lost,33
Half-Blood Prince,managed,33
Half-Blood Prince,pulling,33
Half-Blood Prince,pushed,33
Half-Blood Prince,telling,33
Half-Blood Prince,windows,33
Half-Blood Prince,advanced,32
Half-Blood Prince,ah,32
Half-Blood Prince,arrived,32
Half-Blood Prince,boys,32
Half-Blood Prince,entered,32
Half-Blood Prince,fingers,32
Half-Blood Prince,giving,32
Half-Blood Prince,happy,32
Half-Blood Prince,held,32
Half-Blood Prince,lay,32
Half-Blood Prince,move,32
Half-Blood Prince,pleased,32
Half-Blood Prince,ready,32
Half-Blood Prince,return,32
Half-Blood Prince,sign,32
Half-Blood Prince,silver,32
Half-Blood Prince,smile,32
Half-Blood Prince,speaking,32
Half-Blood Prince,subject,32
Half-Blood Prince,tears,32
Half-Blood Prince,bad,31
Half-Blood Prince,breakfast,31
Half-Blood Prince,burst,31
Half-Blood Prince,fast,31
Half-Blood Prince,felix,31
Half-Blood Prince,free,31
Half-Blood Prince,girls,31
Half-Blood Prince,lesson,31
Half-Blood Prince,merope,31
Half-Blood Prince,moving,31
Half-Blood Prince,odd,31
Half-Blood Prince,person,31
Half-Blood Prince,remained,31
Half-Blood Prince,repeated,31
Half-Blood Prince,simply,31
Half-Blood Prince,sister,31
Half-Blood Prince,smiling,31
Half-Blood Prince,stay,31
Half-Blood Prince,uncle,31
Half-Blood Prince,wait,31
Half-Blood Prince,watched,31
Half-Blood Prince,wondered,31
Half-Blood Prince,chest,30
Half-Blood Prince,christmas,30
Half-Blood Prince,crowd,30
Half-Blood Prince,dad,30
Half-Blood Prince,dropped,30
Half-Blood Prince,goyle,30
Half-Blood Prince,happen,30
Half-Blood Prince,met,30
Half-Blood Prince,requirement,30
Half-Blood Prince,ring,30
Half-Blood Prince,slytherin,30
Half-Blood Prince,spells,30
Half-Blood Prince,staff,30
Half-Blood Prince,watch,30
Half-Blood Prince,watching,30
Half-Blood Prince,box,29
Half-Blood Prince,broken,29
Half-Blood Prince,chance,29
Half-Blood Prince,crabbe,29
