book,bigram,n
Deathly Hallows,death eaters,139
Half-Blood Prince,prime minister,88
Order of the Phoenix,death eaters,81
Half-Blood Prince,death eaters,65
Deathly Hallows,invisibility cloak,61
Goblet of Fire,death eaters,61
Deathly Hallows,death eater,60
Deathly Hallows,elder wand,58
Goblet of Fire,world cup,56
Order of the Phoenix,dark arts,51
Deathly Hallows,godric's hollow,50
Goblet of Fire,ludo bagman,49
Half-Blood Prince,dark lord,45
Goblet of Fire,entrance hall,44
Deathly Hallows,mad eye,43
Order of the Phoenix,daily prophet,42
Deathly Hallows,dark lord,40
Half-Blood Prince,death eater,40
Goblet of Fire,triwizard tournament,38
Half-Blood Prince,dark arts,37
Order of the Phoenix,death eater,37
Order of the Phoenix,grubbly plank,37
Order of the Phoenix,mad eye,37
Goblet of Fire,house elf,36
Goblet of Fire,magical eye,36
Order of the Phoenix,entrance hall,36
Goblet of Fire,daily prophet,35
Goblet of Fire,viktor krum,35
Half-Blood Prince,invisibility cloak,35
Order of the Phoenix,looked round,35
Goblet of Fire,mad eye,33
Goblet of Fire,quidditch world,33
Order of the Phoenix,st mungo's,32
Chamber of Secrets,headless nick,31
Goblet of Fire,house elves,31
Half-Blood Prince,half blood,31
Deathly Hallows,deathly hallows,30
Goblet of Fire,invisibility cloak,30
Order of the Phoenix,dark lord,30
Goblet of Fire,dark mark,29
Chamber of Secrets,gilderoy lockhart,28
Deathly Hallows,phineas nigellus,28
Goblet of Fire,magical creatures,28
Goblet of Fire,cedric diggory,27
Goblet of Fire,death eater,27
Goblet of Fire,fleur delacour,27
Half-Blood Prince,advanced potion,27
Half-Blood Prince,tom riddle,27
Goblet of Fire,bertha jorkins,25
Goblet of Fire,dark arts,25
Half-Blood Prince,felix felicis,24
Order of the Phoenix,privet drive,24
Prisoner of Azkaban,dark arts,24
Prisoner of Azkaban,expecto patronum,24
Deathly Hallows,beaded bag,23
Goblet of Fire,barty crouch,23
Goblet of Fire,cold voice,23
Order of the Phoenix,fred george,23
Order of the Phoenix,hospital wing,23
Order of the Phoenix,umbridge's office,23
Prisoner of Azkaban,invisibility cloak,23
Deathly Hallows,auntie muriel,22
Order of the Phoenix,invisibility cloak,22
Deathly Hallows,front door,21
Goblet of Fire,eye moody,21
Goblet of Fire,triwizard cup,21
Half-Blood Prince,hospital wing,21
Order of the Phoenix,hog's head,21
Order of the Phoenix,house elf,21
Order of the Phoenix,low voice,21
Order of the Phoenix,stone steps,21
Goblet of Fire,dress robes,20
Half-Blood Prince,portrait hole,20
Prisoner of Azkaban,gryffindor tower,20
Prisoner of Azkaban,hospital wing,20
Chamber of Secrets,hospital wing,19
Chamber of Secrets,sorting hat,19
Deathly Hallows,master regulus,19
Deathly Hallows,muggle borns,19
Goblet of Fire,fat lady,19
Goblet of Fire,hospital wing,19
Goblet of Fire,gryffindor tower,18
Goblet of Fire,stone steps,18
Half-Blood Prince,entrance hall,18
Order of the Phoenix,fell silent,18
Order of the Phoenix,luna lovegood,18
Order of the Phoenix,staff table,18
Deathly Hallows,dark arts,17
Deathly Hallows,green light,17
Goblet of Fire,imperius curse,17
Goblet of Fire,red eyes,17
Half-Blood Prince,dark mark,17
Half-Blood Prince,house elf,17
Order of the Phoenix,quidditch team,17
Prisoner of Azkaban,entrance hall,17
Deathly Hallows,bathilda bagshot,16
Deathly Hallows,muggle born,16
Goblet of Fire,marble staircase,16
Goblet of Fire,privet drive,16
Goblet of Fire,staff table,16
Goblet of Fire,ten minutes,16
Goblet of Fire,top box,16
Half-Blood Prince,fat lady,16
Order of the Phoenix,cornelius fudge,16
Order of the Phoenix,pansy parkinson,16
Order of the Phoenix,phineas nigellus,16
Philosopher's Stone,privet drive,16
Goblet of Fire,black eyes,15
Goblet of Fire,dark lord,15
Half-Blood Prince,blood prince,15
Order of the Phoenix,front doors,15
Order of the Phoenix,magical creatures,15
Order of the Phoenix,marble staircase,15
Prisoner of Azkaban,marauder's map,15
Chamber of Secrets,dark arts,14
Chamber of Secrets,moaning myrtle's,14
Deathly Hallows,daily prophet,14
Deathly Hallows,red eyes,14
Goblet of Fire,cornelius fudge,14
Goblet of Fire,fred george,14
Goblet of Fire,gryffindor table,14
Goblet of Fire,hagrid's cabin,14
Half-Blood Prince,rufus scrimgeour,14
Order of the Phoenix,black hair,14
Order of the Phoenix,d'you reckon,14
Order of the Phoenix,front door,14
Order of the Phoenix,headless nick,14
Order of the Phoenix,hem hem,14
Order of the Phoenix,zacharias smith,14
Philosopher's Stone,invisibility cloak,14
Prisoner of Azkaban,knight bus,14
Prisoner of Azkaban,miss granger,14
