book,word,n
Philosopher's Stone,professor,181
Philosopher's Stone,looked,169
Philosopher's Stone,uncle,121
Philosopher's Stone,time,120
Philosopher's Stone,door,105
Philosopher's Stone,eyes,105
Philosopher's Stone,neville,102
Philosopher's Stone,yeh,100
Philosopher's Stone,head,99
Philosopher's Stone,told,93
Philosopher's Stone,people,92
Philosopher's Stone,quirrell,90
Philosopher's Stone,gryffindor,85
Philosopher's Stone,boy,83
Philosopher's Stone,left,82
Philosopher's Stone,hogwarts,79
Philosopher's Stone,ter,78
Philosopher's Stone,house,77
Philosopher's Stone,heard,75
Philosopher's Stone,stone,74
Philosopher's Stone,found,69
Philosopher's Stone,hand,69
Philosopher's Stone,suddenly,69
Philosopher's Stone,bit,67
Philosopher's Stone,school,67
Philosopher's Stone,aunt,65
Philosopher's Stone,wand,63
Philosopher's Stone,dark,62
Philosopher's Stone,quidditch,60
Philosopher's Stone,day,59
Philosopher's Stone,inside,59
Philosopher's Stone,voice,59
Philosopher's Stone,petunia,58
Philosopher's Stone,black,57
Philosopher's Stone,cloak,57
Philosopher's Stone,dursley,54
Philosopher's Stone,floor,53
Philosopher's Stone,wood,53
Philosopher's Stone,yer,53
Philosopher's Stone,feet,52
Philosopher's Stone,front,52
Philosopher's Stone,pulled,51
Philosopher's Stone,dursleys,50
Philosopher's Stone,hall,49
Philosopher's Stone,mind,49
Philosopher's Stone,slytherin,49
Philosopher's Stone,started,49
Philosopher's Stone,magic,48
Philosopher's Stone,air,47
Philosopher's Stone,filch,47
Philosopher's Stone,lot,47
Philosopher's Stone,moment,47
Philosopher's Stone,fell,46
Philosopher's Stone,letter,46
Philosopher's Stone,mirror,46
Philosopher's Stone,night,46
Philosopher's Stone,walked,46
Philosopher's Stone,bed,45
Philosopher's Stone,sat,45
Philosopher's Stone,stop,45
Philosopher's Stone,table,45
Philosopher's Stone,called,44
Philosopher's Stone,owl,44
Philosopher's Stone,past,44
Philosopher's Stone,quickly,44
Philosopher's Stone,books,43
Philosopher's Stone,read,42
Philosopher's Stone,wizard,41
Philosopher's Stone,half,40
Philosopher's Stone,hat,40
Philosopher's Stone,caught,39
Philosopher's Stone,life,39
Philosopher's Stone,remember,39
Philosopher's Stone,fire,37
Philosopher's Stone,hair,37
Philosopher's Stone,reached,37
Philosopher's Stone,stood,37
Philosopher's Stone,madam,36
Philosopher's Stone,percy,36
Philosopher's Stone,wall,36
Philosopher's Stone,forest,35
Philosopher's Stone,stared,35
Philosopher's Stone,whispered,35
Philosopher's Stone,white,35
Philosopher's Stone,broom,34
Philosopher's Stone,coming,34
Philosopher's Stone,forward,34
Philosopher's Stone,fred,34
Philosopher's Stone,ground,34
Philosopher's Stone,hagrid's,34
Philosopher's Stone,hands,34
Philosopher's Stone,top,34
Philosopher's Stone,silver,33
Philosopher's Stone,standing,33
Philosopher's Stone,hear,32
Philosopher's Stone,morning,32
Philosopher's Stone,peeves,32
Philosopher's Stone,train,32
Philosopher's Stone,window,32
Philosopher's Stone,dragon,31
Philosopher's Stone,green,31
Philosopher's Stone,happened,31
Philosopher's Stone,nose,31
Philosopher's Stone,troll,31
Philosopher's Stone,corridor,30
Philosopher's Stone,hard,30
Philosopher's Stone,minutes,30
Philosopher's Stone,red,30
Philosopher's Stone,suppose,30
Philosopher's Stone,fer,29
Philosopher's Stone,funny,29
Philosopher's Stone,george,29
Philosopher's Stone,hundred,29
Philosopher's Stone,lost,29
Philosopher's Stone,noticed,29
Philosopher's Stone,shouted,29
Philosopher's Stone,stopped,29
Philosopher's Stone,students,29
Philosopher's Stone,talking,29
Philosopher's Stone,ten,29
Philosopher's Stone,bad,28
Philosopher's Stone,father,28
Philosopher's Stone,gold,28
Philosopher's Stone,gringotts,28
Philosopher's Stone,mother,28
Philosopher's Stone,team,28
Philosopher's Stone,trouble,28
Philosopher's Stone,broomstick,27
Philosopher's Stone,family,27
Philosopher's Stone,light,27
Philosopher's Stone,snape's,27
Philosopher's Stone,cold,26
Philosopher's Stone,don,26
Philosopher's Stone,fluffy,26
Philosopher's Stone,holding,26
Philosopher's Stone,move,26
Philosopher's Stone,robes,26
Philosopher's Stone,set,26
