book,word,n
Prisoner of Azkaban,professor,395
Prisoner of Azkaban,black,332
Prisoner of Azkaban,looked,235
Prisoner of Azkaban,eyes,176
Prisoner of Azkaban,time,171
Prisoner of Azkaban,door,134
Prisoner of Azkaban,head,134
Prisoner of Azkaban,voice,134
Prisoner of Azkaban,heard,119
Prisoner of Azkaban,hand,118
Prisoner of Azkaban,wand,114
Prisoner of Azkaban,gryffindor,113
Prisoner of Azkaban,scabbers,106
Prisoner of Azkaban,told,102
Prisoner of Azkaban,fudge,100
Prisoner of Azkaban,neville,98
Prisoner of Azkaban,dementors,95
Prisoner of Azkaban,front,95
Prisoner of Azkaban,crookshanks,90
Prisoner of Azkaban,moment,90
Prisoner of Azkaban,aunt,89
Prisoner of Azkaban,pettigrew,88
Prisoner of Azkaban,hogwarts,87
Prisoner of Azkaban,inside,87
Prisoner of Azkaban,left,86
Prisoner of Azkaban,table,85
Prisoner of Azkaban,madam,83
Prisoner of Azkaban,suddenly,82
Prisoner of Azkaban,uncle,82
Prisoner of Azkaban,castle,80
Prisoner of Azkaban,wood,80
Prisoner of Azkaban,class,79
Prisoner of Azkaban,dark,79
Prisoner of Azkaban,hands,78
Prisoner of Azkaban,buckbeak,75
Prisoner of Azkaban,fred,73
Prisoner of Azkaban,hear,73
Prisoner of Azkaban,bed,72
Prisoner of Azkaban,firebolt,72
Prisoner of Azkaban,feet,71
Prisoner of Azkaban,stood,68
Prisoner of Azkaban,trelawney,68
Prisoner of Azkaban,cloak,67
Prisoner of Azkaban,people,67
Prisoner of Azkaban,school,67
Prisoner of Azkaban,ron's,65
Prisoner of Azkaban,magic,64
Prisoner of Azkaban,night,63
Prisoner of Azkaban,staring,62
Prisoner of Azkaban,hogsmeade,61
Prisoner of Azkaban,pulled,61
Prisoner of Azkaban,percy,60
Prisoner of Azkaban,whispered,59
Prisoner of Azkaban,bit,58
Prisoner of Azkaban,george,58
Prisoner of Azkaban,hall,58
Prisoner of Azkaban,forward,57
Prisoner of Azkaban,hagrid's,57
Prisoner of Azkaban,quickly,57
Prisoner of Azkaban,floor,56
Prisoner of Azkaban,happened,56
Prisoner of Azkaban,hair,54
Prisoner of Azkaban,reached,54
Prisoner of Azkaban,set,54
Prisoner of Azkaban,team,54
Prisoner of Azkaban,quidditch,53
Prisoner of Azkaban,rest,53
Prisoner of Azkaban,marge,52
Prisoner of Azkaban,mind,52
Prisoner of Azkaban,sat,52
Prisoner of Azkaban,started,52
Prisoner of Azkaban,dementor,51
Prisoner of Azkaban,match,51
Prisoner of Azkaban,day,50
Prisoner of Azkaban,map,50
Prisoner of Azkaban,slytherin,50
Prisoner of Azkaban,ter,49
Prisoner of Azkaban,air,48
Prisoner of Azkaban,boy,48
Prisoner of Azkaban,rat,48
Prisoner of Azkaban,robes,48
Prisoner of Azkaban,sight,48
Prisoner of Azkaban,stan,48
Prisoner of Azkaban,black's,47
Prisoner of Azkaban,dear,47
Prisoner of Azkaban,peter,47
Prisoner of Azkaban,slowly,47
Prisoner of Azkaban,yeh,47
Prisoner of Azkaban,azkaban,46
Prisoner of Azkaban,broom,46
Prisoner of Azkaban,muttered,46
Prisoner of Azkaban,quietly,46
Prisoner of Azkaban,window,46
Prisoner of Azkaban,arm,45
Prisoner of Azkaban,fell,45
Prisoner of Azkaban,mouth,45
Prisoner of Azkaban,yelled,45
Prisoner of Azkaban,hard,44
Prisoner of Azkaban,yeah,44
Prisoner of Azkaban,field,43
Prisoner of Azkaban,common,42
Prisoner of Azkaban,feeling,42
Prisoner of Azkaban,found,42
Prisoner of Azkaban,life,42
Prisoner of Azkaban,standing,42
Prisoner of Azkaban,books,41
Prisoner of Azkaban,coming,41
Prisoner of Azkaban,cup,41
Prisoner of Azkaban,dog,41
Prisoner of Azkaban,ministry,41
Prisoner of Azkaban,snitch,41
Prisoner of Azkaban,leave,40
Prisoner of Azkaban,stared,40
Prisoner of Azkaban,talking,40
Prisoner of Azkaban,trunk,40
Prisoner of Azkaban,wizard,40
Prisoner of Azkaban,dead,39
Prisoner of Azkaban,ground,39
Prisoner of Azkaban,hippogriff,39
Prisoner of Azkaban,minutes,39
Prisoner of Azkaban,sitting,39
Prisoner of Azkaban,snape's,39
Prisoner of Azkaban,stop,39
Prisoner of Azkaban,called,38
