book,index,negative,positive,sentiment
Philosopher's Stone,0,71,28,-0.43
Philosopher's Stone,1,63,37,-0.26
Philosopher's Stone,2,76,24,-0.52
Philosopher's Stone,3,74,26,-0.48
Philosopher's Stone,4,75,25,-0.5
Philosopher's Stone,5,78,22,-0.56
Philosopher's Stone,6,69,31,-0.38
Philosopher's Stone,7,51,49,-0.02
Philosopher's Stone,8,58,42,-0.16
Philosopher's Stone,9,52,48,-0.04
Philosopher's Stone,10,62,38,-0.24
Philosopher's Stone,11,64,36,-0.28
Philosopher's Stone,12,52,48,-0.04
Philosopher's Stone,13,70,30,-0.4
Philosopher's Stone,14,73,27,-0.46
Philosopher's Stone,15,68,32,-0.36
Philosopher's Stone,16,72,28,-0.44
Philosopher's Stone,17,54,46,-0.08
Philosopher's Stone,18,81,19,-0.62
Philosopher's Stone,19,60,40,-0.2
Philosopher's Stone,20,72,28,-0.44
Philosopher's Stone,21,67,33,-0.34
Philosopher's Stone,22,67,33,-0.34
Philosopher's Stone,23,40,60,0.2
Philosopher's Stone,24,58,42,-0.16
Philosopher's Stone,25,72,28,-0.44
Philosopher's Stone,26,74,26,-0.48
Philosopher's Stone,27,82,18,-0.64
Philosopher's Stone,28,67,33,-0.34
Philosopher's Stone,29,82,18,-0.64
Philosopher's Stone,30,68,32,-0.36
Philosopher's Stone,31,76,24,-0.52
Philosopher's Stone,32,71,29,-0.42
Philosopher's Stone,33,56,44,-0.12
Chamber of Secrets,34,53,18,-0.35
Philosopher's Stone,34,17,12,-0.05
Chamber of Secrets,35,63,37,-0.26
Chamber of Secrets,36,72,28,-0.44
Chamber of Secrets,37,69,31,-0.38
Chamber of Secrets,38,65,35,-0.3
Chamber of Secrets,39,66,34,-0.32
Chamber of Secrets,40,65,35,-0.3
Chamber of Secrets,41,53,47,-0.06
Chamber of Secrets,42,80,20,-0.6
Chamber of Secrets,43,71,29,-0.42
Chamber of Secrets,44,62,38,-0.24
Chamber of Secrets,45,66,34,-0.32
Chamber of Secrets,46,55,45,-0.1
Chamber of Secrets,47,73,27,-0.46
Chamber of Secrets,48,63,37,-0.26
Chamber of Secrets,49,59,41,-0.18
Chamber of Secrets,50,72,28,-0.44
Chamber of Secrets,51,71,29,-0.42
Chamber of Secrets,52,63,37,-0.26
Chamber of Secrets,53,87,13,-0.74
Chamber of Secrets,54,72,28,-0.44
Chamber of Secrets,55,79,21,-0.58
Chamber of Secrets,56,78,22,-0.56
Chamber of Secrets,57,64,36,-0.28
Chamber of Secrets,58,83,17,-0.66
Chamber of Secrets,59,77,23,-0.54
Chamber of Secrets,60,60,40,-0.2
Chamber of Secrets,61,73,27,-0.46
Chamber of Secrets,62,66,34,-0.32
Chamber of Secrets,63,59,41,-0.18
Chamber of Secrets,64,82,18,-0.64
Chamber of Secrets,65,70,30,-0.4
Chamber of Secrets,66,75,25,-0.5
Chamber of Secrets,67,76,24,-0.52
Chamber of Secrets,68,81,19,-0.62
Chamber of Secrets,69,65,35,-0.3
Chamber of Secrets,70,79,21,-0.58
Chamber of Secrets,71,77,23,-0.54
Chamber of Secrets,72,61,39,-0.22
