book,word,n
Order of the Phoenix,professor,586
Deathly Hallows,wand,577
Order of the Phoenix,looked,537
Goblet of Fire,looked,483
Order of the Phoenix,voice,433
Deathly Hallows,looked,430
Order of the Phoenix,time,410
Prisoner of Azkaban,professor,395
Order of the Phoenix,door,376
Order of the Phoenix,head,373
Half-Blood Prince,looked,335
Half-Blood Prince,slughorn,335
Order of the Phoenix,eyes,334
Prisoner of Azkaban,black,332
Deathly Hallows,eyes,323
Order of the Phoenix,fred,318
Goblet of Fire,eyes,316
Half-Blood Prince,time,313
Order of the Phoenix,wand,311
Goblet of Fire,moody,309
Deathly Hallows,death,305
Goblet of Fire,professor,290
Goblet of Fire,crouch,287
Goblet of Fire,time,278
Goblet of Fire,wand,276
Order of the Phoenix,hand,274
Deathly Hallows,time,273
Half-Blood Prince,professor,272
Order of the Phoenix,george,269
Order of the Phoenix,yeah,257
Deathly Hallows,voice,255
Goblet of Fire,voice,253
Prisoner of Azkaban,looked,235
Order of the Phoenix,people,234
Order of the Phoenix,neville,233
Goblet of Fire,head,231
Deathly Hallows,door,228
Order of the Phoenix,told,228
Deathly Hallows,hand,226
Order of the Phoenix,dark,225
Goblet of Fire,cedric,225
Order of the Phoenix,ginny,219
Goblet of Fire,told,218
Half-Blood Prince,ginny,215
Order of the Phoenix,moment,210
Half-Blood Prince,hand,209
Order of the Phoenix,left,209
Goblet of Fire,bagman,208
Deathly Hallows,head,207
Half-Blood Prince,eyes,205
Order of the Phoenix,floor,202
Deathly Hallows,told,200
Half-Blood Prince,voice,197
Chamber of Secrets,lockhart,197
Half-Blood Prince,dark,196
Deathly Hallows,left,195
Goblet of Fire,dark,194
Deathly Hallows,dark,192
Order of the Phoenix,front,192
Half-Blood Prince,wand,191
Order of the Phoenix,ministry,191
Goblet of Fire,krum,190
Chamber of Secrets,professor,190
Order of the Phoenix,feet,186
Goblet of Fire,fred,186
Goblet of Fire,hogwarts,186
Order of the Phoenix,heard,185
Goblet of Fire,hand,184
Philosopher's Stone,professor,181
Half-Blood Prince,door,180
Goblet of Fire,heard,179
Goblet of Fire,table,176
Prisoner of Azkaban,eyes,176
Deathly Hallows,moment,174
Deathly Hallows,cloak,173
Prisoner of Azkaban,time,171
Philosopher's Stone,looked,169
Order of the Phoenix,table,168
Half-Blood Prince,head,164
Order of the Phoenix,black,164
Order of the Phoenix,found,164
Order of the Phoenix,bit,163
Deathly Hallows,heard,162
Half-Blood Prince,told,162
Order of the Phoenix,fudge,162
Goblet of Fire,hall,162
Goblet of Fire,house,162
Order of the Phoenix,death,161
Half-Blood Prince,people,160
Order of the Phoenix,inside,159
Goblet of Fire,people,159
Half-Blood Prince,moment,158
Order of the Phoenix,magic,157
Goblet of Fire,front,157
Order of the Phoenix,night,156
Goblet of Fire,door,156
Order of the Phoenix,hall,155
Chamber of Secrets,looked,155
Goblet of Fire,george,152
Half-Blood Prince,left,151
Order of the Phoenix,hogwarts,150
Order of the Phoenix,slightly,149
Deathly Hallows,stood,148
Goblet of Fire,feet,148
Chamber of Secrets,time,148
Deathly Hallows,sword,147
Deathly Hallows,inside,146
Order of the Phoenix,house,146
Order of the Phoenix,feeling,145
Goblet of Fire,winky,145
Goblet of Fire,yeah,145
Chamber of Secrets,eyes,145
Half-Blood Prince,death,144
Order of the Phoenix,staring,144
Order of the Phoenix,hear,142
Goblet of Fire,karkaroff,141
Order of the Phoenix,mouth,140
Goblet of Fire,moment,140
Deathly Hallows,eaters,139
Deathly Hallows,light,139
Order of the Phoenix,luna,139
Order of the Phoenix,cho,138
Order of the Phoenix,office,138
Goblet of Fire,left,138
Deathly Hallows,house,137
Order of the Phoenix,hands,137
Half-Blood Prince,sir,135
Half-Blood Prince,hogwarts,134
Prisoner of Azkaban,door,134
Prisoner of Azkaban,head,134
Prisoner of Azkaban,voice,134
Order of the Phoenix,ter,133
Deathly Hallows,front,132
Goblet of Fire,robes,132
Order of the Phoenix,eye,131
Half-Blood Prince,dumbledore's,130
Deathly Hallows,hogwarts,129
Deathly Hallows,people,129
Goblet of Fire,magical,129
Order of the Phoenix,air,128
Order of the Phoenix,hard,128
Order of the Phoenix,half,126
Order of the Phoenix,bed,125
Order of the Phoenix,mind,125
Half-Blood Prince,heard,124
Deathly Hallows,feet,123
Deathly Hallows,floor,123
Order of the Phoenix,quietly,123
Goblet of Fire,hands,123
Chamber of Secrets,door,123
Deathly Hallows,hair,122
Deathly Hallows,lord,122
Order of the Phoenix,standing,122
Order of the Phoenix,day,121
Order of the Phoenix,pulled,121
Philosopher's Stone,uncle,121
Deathly Hallows,air,120
Deathly Hallows,luna,120
Goblet of Fire,pulled,120
Philosopher's Stone,time,120
Deathly Hallows,kreacher,119
Half-Blood Prince,minister,119
Order of the Phoenix,hair,119
Goblet of Fire,fire,119
Prisoner of Azkaban,heard,119
Chamber of Secrets,head,119
Order of the Phoenix,walked,118
Goblet of Fire,cup,118
Prisoner of Azkaban,hand,118
Deathly Hallows,griphook,117
Order of the Phoenix,talking,117
Goblet of Fire,wormtail,117
Half-Blood Prince,potion,116
Order of the Phoenix,past,116
Order of the Phoenix,students,116
Goblet of Fire,eye,116
Order of the Phoenix,uncle,115
Goblet of Fire,ministry,115
Goblet of Fire,staring,114
Prisoner of Azkaban,wand,114
Deathly Hallows,yeah,113
Half-Blood Prince,ministry,113
Half-Blood Prince,school,113
Order of the Phoenix,ron's,113
Order of the Phoenix,round,113
Order of the Phoenix,window,113
Prisoner of Azkaban,gryffindor,113
Chamber of Secrets,voice,113
Half-Blood Prince,yeah,112
Order of the Phoenix,happened,112
Goblet of Fire,suddenly,112
Order of the Phoenix,gryffindor,111
Order of the Phoenix,school,111
Goblet of Fire,black,111
Goblet of Fire,hear,111
Deathly Hallows,bill,110
Deathly Hallows,magic,110
Deathly Hallows,pulled,110
Order of the Phoenix,stood,110
Goblet of Fire,death,109
Deathly Hallows,hermione's,108
Half-Blood Prince,half,108
Half-Blood Prince,house,108
Goblet of Fire,found,108
Deathly Hallows,happened,107
Deathly Hallows,ron's,107
Half-Blood Prince,front,107
Order of the Phoenix,fell,107
Order of the Phoenix,light,107
Order of the Phoenix,watching,107
Goblet of Fire,inside,107
Chamber of Secrets,school,107
Chamber of Secrets,wand,107
Deathly Hallows,hands,106
Deathly Hallows,wizard,106
Goblet of Fire,school,106
Goblet of Fire,walked,106
Goblet of Fire,wizards,106
Prisoner of Azkaban,scabbers,106
Philosopher's Stone,door,105
Philosopher's Stone,eyes,105
Deathly Hallows,eye,104
Half-Blood Prince,feet,104
Order of the Phoenix,quidditch,104
Order of the Phoenix,robes,104
Order of the Phoenix,top,104
Goblet of Fire,hair,104
Deathly Hallows,ginny,103
Deathly Hallows,goblin,103
Half-Blood Prince,black,103
Order of the Phoenix,desk,103
Order of the Phoenix,parchment,103
Goblet of Fire,percy,103
Goblet of Fire,talking,103
Deathly Hallows,boy,102
Deathly Hallows,raised,102
Deathly Hallows,whispered,102
Goblet of Fire,night,102
Prisoner of Azkaban,told,102
Philosopher's Stone,neville,102
Deathly Hallows,black,101
Deathly Hallows,dead,101
Half-Blood Prince,riddle,101
Order of the Phoenix,tonks,101
Goblet of Fire,top,101
Chamber of Secrets,riddle,101
Order of the Phoenix,er,100
Order of the Phoenix,kreacher,100
Order of the Phoenix,set,100
Goblet of Fire,coming,100
Goblet of Fire,forward,100
Goblet of Fire,stood,100
Prisoner of Azkaban,fudge,100
Chamber of Secrets,fred,100
Philosopher's Stone,yeh,100
Deathly Hallows,dumbledore's,99
Half-Blood Prince,prime,99
Order of the Phoenix,passed,99
Order of the Phoenix,raised,99
Philosopher's Stone,head,99
Deathly Hallows,fell,98
Order of the Phoenix,quickly,98
Order of the Phoenix,sat,98
Order of the Phoenix,whispered,98
Goblet of Fire,diggory,98
Goblet of Fire,sitting,98
Goblet of Fire,students,98
Prisoner of Azkaban,neville,98
Chamber of Secrets,ginny,98
Deathly Hallows,half,97
Order of the Phoenix,class,97
Deathly Hallows,ministry,96
Order of the Phoenix,sitting,96
Goblet of Fire,air,96
Goblet of Fire,past,96
Goblet of Fire,sort,96
Half-Blood Prince,happened,95
Order of the Phoenix,shouted,95
Goblet of Fire,office,95
Goblet of Fire,tournament,95
Prisoner of Azkaban,dementors,95
Prisoner of Azkaban,front,95
Deathly Hallows,albus,94
Order of the Phoenix,loudly,94
Order of the Phoenix,wall,94
Order of the Phoenix,wizard,94
Goblet of Fire,father,94
Goblet of Fire,half,94
Goblet of Fire,madame,94
Deathly Hallows,beneath,93
Deathly Hallows,hear,93
Deathly Hallows,horcrux,93
Deathly Hallows,sat,93
Deathly Hallows,scar,93
Order of the Phoenix,corridor,93
Goblet of Fire,ground,93
Goblet of Fire,hard,93
Goblet of Fire,maxime,93
Goblet of Fire,started,93
Goblet of Fire,water,93
Chamber of Secrets,told,93
Philosopher's Stone,told,93
Deathly Hallows,close,92
Deathly Hallows,professor,92
Half-Blood Prince,cloak,92
Half-Blood Prince,table,92
Order of the Phoenix,leave,92
Philosopher's Stone,people,92
Half-Blood Prince,found,91
Order of the Phoenix,chair,91
